NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=8.926s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=252 actions=output:3
 cookie=0x0, duration=8.93s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=146 actions=output:1
 cookie=0x0, duration=8.938s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=22 actions=output:2
 cookie=0x0, duration=8.926s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=214 actions=output:2
 cookie=0x0, duration=8.93s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=196 actions=output:1
 cookie=0x0, duration=8.926s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=216 actions=output:2
 cookie=0x0, duration=8.938s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=97 actions=output:1
 cookie=0x0, duration=8.922s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=265 actions=output:3
 cookie=0x0, duration=8.937s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=114 actions=output:1
 cookie=0x0, duration=8.938s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=98 actions=output:1
 cookie=0x0, duration=8.938s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=54 actions=output:2
 cookie=0x0, duration=8.938s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=105 actions=output:3
 cookie=0x0, duration=8.938s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=76 actions=output:3
 cookie=0x0, duration=8.926s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=242 actions=output:1
 cookie=0x0, duration=8.93s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=122 actions=output:3
 cookie=0x0, duration=8.93s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=162 actions=output:1
 cookie=0x0, duration=8.93s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=200 actions=output:2
 cookie=0x0, duration=8.938s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=59 actions=output:3
 cookie=0x0, duration=8.938s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=82 actions=output:1
 cookie=0x0, duration=8.938s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=75 actions=output:3
 cookie=0x0, duration=8.93s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=150 actions=output:2
 cookie=0x0, duration=8.926s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=241 actions=output:1
 cookie=0x0, duration=8.93s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=147 actions=output:1
 cookie=0x0, duration=8.93s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=137 actions=output:3
 cookie=0x0, duration=8.938s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=107 actions=output:3
 cookie=0x0, duration=8.938s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=60 actions=output:3
 cookie=0x0, duration=8.938s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=73 actions=output:3
